skill_id,probability,gap_ms,sample_size,method,gap_days
85,0.01,9621.92,100000,deterministic_min_hash_sample,0.00011136481481481482
85,0.05,43412.9,100000,deterministic_min_hash_sample,0.0005024641203703703
85,0.1,91580.6,100000,deterministic_min_hash_sample,0.0010599606481481482
85,0.25,281590.5,100000,deterministic_min_hash_sample,0.0032591493055555555
85,0.5,4710472.5,100000,deterministic_min_hash_sample,0.05451935763888889
85,0.75,127576994.0,100000,deterministic_min_hash_sample,1.4765855787037037
85,0.9,432629548.60000026,100000,deterministic_min_hash_sample,5.007286442129633
85,0.95,1039023150.7999996,100000,deterministic_min_hash_sample,12.025730912037032
85,0.99,7751487589.129992,100000,deterministic_min_hash_sample,89.71629154085639
74,0.01,10941.95,100000,deterministic_min_hash_sample,0.00012664293981481484
74,0.05,19618.750000000004,100000,deterministic_min_hash_sample,0.0002270688657407408
74,0.1,29156.700000000004,100000,deterministic_min_hash_sample,0.0003374618055555556
74,0.25,74749.0,100000,deterministic_min_hash_sample,0.000865150462962963
74,0.5,985339.0,100000,deterministic_min_hash_sample,0.011404386574074074
74,0.75,143199940.0,100000,deterministic_min_hash_sample,1.657406712962963
74,0.9,597410702.0000011,100000,deterministic_min_hash_sample,6.914475717592605
74,0.95,1466278138.9999976,100000,deterministic_min_hash_sample,16.970811793981454
74,0.99,9081348204.339972,100000,deterministic_min_hash_sample,105.10819680949041
77,0.01,11934.84,100000,deterministic_min_hash_sample,0.00013813472222222223
77,0.05,45073.65000000001,100000,deterministic_min_hash_sample,0.000521685763888889
77,0.1,96526.90000000004,100000,deterministic_min_hash_sample,0.001117209490740741
77,0.25,312531.0,100000,deterministic_min_hash_sample,0.0036172569444444446
77,0.5,6838379.5,100000,deterministic_min_hash_sample,0.07914791087962963
77,0.75,149491600.5,100000,deterministic_min_hash_sample,1.7302268576388888
77,0.9,484801884.7000001,100000,deterministic_min_hash_sample,5.61113292476852
77,0.95,1127739390.8499997,100000,deterministic_min_hash_sample,13.05253924594907
77,0.99,7689513720.519984,100000,deterministic_min_hash_sample,88.99900139490722
76,0.01,18698.47,100000,deterministic_min_hash_sample,0.00021641747685185187
76,0.05,56872.95,100000,deterministic_min_hash_sample,0.0006582517361111111
76,0.1,117829.20000000004,100000,deterministic_min_hash_sample,0.0013637638888888894
76,0.25,438634.75,100000,deterministic_min_hash_sample,0.005076791087962963
76,0.5,18987254.5,100000,deterministic_min_hash_sample,0.21975989004629629
76,0.75,176361994.5,100000,deterministic_min_hash_sample,2.0412267881944444
76,0.9,591124644.9000001,100000,deterministic_min_hash_sample,6.8417204270833345
76,0.95,1367985695.549999,100000,deterministic_min_hash_sample,15.833167772569432
76,0.99,8567420758.149997,100000,deterministic_min_hash_sample,99.15996247858793
83,0.01,15479.94,100000,deterministic_min_hash_sample,0.00017916597222222223
83,0.05,46523.7,100000,deterministic_min_hash_sample,0.00053846875
83,0.1,99618.8,100000,deterministic_min_hash_sample,0.0011529953703703704
83,0.25,458022.5,100000,deterministic_min_hash_sample,0.005301186342592593
83,0.5,29836425.0,100000,deterministic_min_hash_sample,0.34532899305555553
83,0.75,213307795.75,100000,deterministic_min_hash_sample,2.468840228587963
83,0.9,698737107.4000006,100000,deterministic_min_hash_sample,8.087235039351858
83,0.95,1688076748.349993,100000,deterministic_min_hash_sample,19.53792532812492
83,0.99,11150437368.869984,100000,deterministic_min_hash_sample,129.0559880656248
78,0.01,16116.98,100000,deterministic_min_hash_sample,0.00018653912037037035
78,0.05,36572.9,100000,deterministic_min_hash_sample,0.0004232974537037037
78,0.1,68607.20000000001,100000,deterministic_min_hash_sample,0.0007940648148148149
78,0.25,348576.5,100000,deterministic_min_hash_sample,0.004034450231481482
78,0.5,39548065.5,100000,deterministic_min_hash_sample,0.4577322395833333
78,0.75,234248339.5,100000,deterministic_min_hash_sample,2.7112076331018518
78,0.9,893154217.1000017,100000,deterministic_min_hash_sample,10.337433068287057
78,0.95,2013174083.85,100000,deterministic_min_hash_sample,23.30062597048611
78,0.99,11304747383.349943,100000,deterministic_min_hash_sample,130.8419836035873
71,0.01,12000.0,100000,deterministic_min_hash_sample,0.0001388888888888889
71,0.05,36779.850000000006,100000,deterministic_min_hash_sample,0.0004256927083333334
71,0.1,105492.30000000002,100000,deterministic_min_hash_sample,0.0012209756944444447
71,0.25,899013.5,100000,deterministic_min_hash_sample,0.010405248842592592
71,0.5,80475517.5,100000,deterministic_min_hash_sample,0.9314296006944445
71,0.75,347901688.5,100000,deterministic_min_hash_sample,4.026639913194445
71,0.9,1330359539.0000007,100000,deterministic_min_hash_sample,15.397679849537045
71,0.95,3181080765.749996,100000,deterministic_min_hash_sample,36.818064418402734
71,0.99,15902876213.759932,100000,deterministic_min_hash_sample,184.0610672888881
143,0.01,35904.200000000004,100000,deterministic_min_hash_sample,0.00041555787037037044
143,0.05,97590.85,100000,deterministic_min_hash_sample,0.0011295237268518518
143,0.1,123178.9,100000,deterministic_min_hash_sample,0.0014256817129629628
143,0.25,186000.0,100000,deterministic_min_hash_sample,0.0021527777777777778
143,0.5,407194.0,100000,deterministic_min_hash_sample,0.004712893518518518
143,0.75,22407836.0,100000,deterministic_min_hash_sample,0.25934995370370373
143,0.9,209958232.6,100000,deterministic_min_hash_sample,2.430072136574074
143,0.95,584964533.0499991,100000,deterministic_min_hash_sample,6.7704228362268415
143,0.99,5257340521.389915,100000,deterministic_min_hash_sample,60.848848627198095
84,0.01,13369.98,100000,deterministic_min_hash_sample,0.00015474513888888888
84,0.05,34645.55,100000,deterministic_min_hash_sample,0.00040099016203703705
84,0.1,79318.60000000002,100000,deterministic_min_hash_sample,0.0009180393518518521
84,0.25,595116.75,100000,deterministic_min_hash_sample,0.006887925347222222
84,0.5,66695899.0,100000,deterministic_min_hash_sample,0.7719432754629629
84,0.75,302799239.75,100000,deterministic_min_hash_sample,3.5046208304398148
84,0.9,1128819633.6,100000,deterministic_min_hash_sample,13.065042055555555
84,0.95,2546422870.299992,100000,deterministic_min_hash_sample,29.472486924768425
84,0.99,12487349549.04992,100000,deterministic_min_hash_sample,144.52950866955925
119,0.01,13889.72,100000,deterministic_min_hash_sample,0.00016076064814814813
119,0.05,50280.80000000002,100000,deterministic_min_hash_sample,0.0005819537037037039
119,0.1,123750.50000000007,100000,deterministic_min_hash_sample,0.0014322974537037045
119,0.25,879133.5,100000,deterministic_min_hash_sample,0.01017515625
119,0.5,70390411.0,100000,deterministic_min_hash_sample,0.8147038310185185
119,0.75,299611155.0,100000,deterministic_min_hash_sample,3.467721701388889
119,0.9,1108244714.3,100000,deterministic_min_hash_sample,12.826906415509258
119,0.95,2444245302.349995,100000,deterministic_min_hash_sample,28.289876184606424
119,0.99,12491838791.239922,100000,deterministic_min_hash_sample,144.5814674912028
80,0.01,14086.0,100000,deterministic_min_hash_sample,0.00016303240740740742
80,0.05,42620.75,100000,deterministic_min_hash_sample,0.0004932957175925926
80,0.1,134423.00000000003,100000,deterministic_min_hash_sample,0.0015558217592592596
