skill_id,q90_gap_days,q95_gap_days,q99_gap_days,q90_below_30d,q95_below_30d,q99_below_30d
71,15.397679849537045,36.818064418402734,184.0610672888881,True,False,False
74,6.914475717592605,16.970811793981454,105.10819680949041,True,True,False
76,6.8417204270833345,15.833167772569432,99.15996247858793,True,True,False
77,5.61113292476852,13.05253924594907,88.99900139490722,True,True,False
78,10.337433068287057,23.30062597048611,130.8419836035873,True,True,False
80,16.012595494212967,36.94482888425914,172.20210577337954,True,False,False
83,8.087235039351858,19.53792532812492,129.0559880656248,True,True,False
84,13.065042055555555,29.472486924768425,144.52950866955925,True,True,False
85,5.007286442129633,12.025730912037032,89.71629154085639,True,True,False
86,15.663692390046311,35.19746191956009,157.9643599489582,True,False,False
87,16.862980578703706,37.52066850752312,163.77125245949057,True,False,False
88,18.082735526620414,40.1971307696759,174.07325199930492,True,False,False
90,19.009916505787047,42.81470604166655,177.33996035798592,True,False,False
94,18.900251055555557,42.75238037905076,176.26219952742952,True,False,False
96,22.69346082870373,54.03127135879624,218.08957944791644,True,False,False
98,15.474249798611119,35.20717360011566,161.9080263657405,True,False,False
103,18.10252792129631,40.13812890567093,171.06099948726768,True,False,False
106,16.06295277893519,35.94189824768492,166.08546858472212,True,False,False
119,12.826906415509258,28.289876184606424,144.5814674912028,True,True,False
143,2.430072136574074,6.7704228362268415,60.848848627198095,True,True,False
