world_model,policy,n_replications,rank1_frequency,top3_frequency,mean_replication_rank
binary_bktf,blocked_median_item,30,0.0,0.0,7.733333333333333
binary_bktf,interleaved_median_item,30,0.0,0.0,6.933333333333334
binary_bktf,random_skill_item_bin,30,0.0,0.0,7.933333333333334
binary_bktf,balanced_mastery,30,0.03333333333333333,0.7666666666666667,3.1333333333333333
binary_bktf,least_mastery_target_item,30,0.0,0.03333333333333333,5.633333333333334
binary_bktf,maximum_skill_uncertainty,30,0.0,0.23333333333333334,4.066666666666666
binary_bktf,maximum_response_information_gain,30,0.7333333333333333,1.0,1.3
binary_bktf,two_corner_robust_response_information_gain,30,0.23333333333333334,0.9666666666666667,1.9333333333333333
binary_bktf,target_success_070,30,0.0,0.0,6.333333333333333
continuous_latent_trait,blocked_median_item,30,0.0,0.0,5.033333333333333
continuous_latent_trait,interleaved_median_item,30,0.0,0.03333333333333333,3.966666666666667
continuous_latent_trait,random_skill_item_bin,30,0.0,0.0,6.9
continuous_latent_trait,balanced_mastery,30,0.0,0.0,8.0
continuous_latent_trait,least_mastery_target_item,30,0.0,0.0,9.0
continuous_latent_trait,maximum_skill_uncertainty,30,0.0,0.0,6.066666666666666
continuous_latent_trait,maximum_response_information_gain,30,0.36666666666666664,1.0,1.6333333333333333
continuous_latent_trait,two_corner_robust_response_information_gain,30,0.6333333333333333,1.0,1.3666666666666667
continuous_latent_trait,target_success_070,30,0.0,0.9666666666666667,3.033333333333333
four_state_semimarkov,blocked_median_item,30,0.0,0.03333333333333333,5.9
four_state_semimarkov,interleaved_median_item,30,0.0,0.13333333333333333,4.933333333333334
four_state_semimarkov,random_skill_item_bin,30,0.0,0.0,7.2
four_state_semimarkov,balanced_mastery,30,0.0,0.06666666666666667,5.933333333333334
four_state_semimarkov,least_mastery_target_item,30,0.0,0.0,8.9
four_state_semimarkov,maximum_skill_uncertainty,30,0.0,0.5666666666666667,4.266666666666667
four_state_semimarkov,maximum_response_information_gain,30,0.4666666666666667,1.0,1.5333333333333334
four_state_semimarkov,two_corner_robust_response_information_gain,30,0.5333333333333333,1.0,1.5
four_state_semimarkov,target_success_070,30,0.0,0.2,4.833333333333333
