skill_id,item_bin,practice_representative_shift,practice_n_items,test_representative_shift,test_n_items
71,0,-0.8396760302175911,24,-0.7926528187787311,6
71,1,-0.03982958979938725,23,-0.055137681814274975,6
71,2,0.23849551998818289,23,0.24658955265494398,6
71,3,0.4597506251408175,23,0.47372211424276023,6
71,4,0.6529653449842346,23,0.645640822982109,5
71,5,0.8427415702079997,23,0.8391669385882914,6
71,6,1.0404942000032267,23,1.0406133069314876,6
71,7,1.2640040759156537,23,1.2763421349154969,6
71,8,1.7715113886206773,23,1.7067541197358012,5
74,0,-1.114918922248398,60,-1.1345912891918102,15
74,1,-0.3802436123865435,60,-0.3850428242015069,15
74,2,-0.06889794292280227,60,-0.08252907217712747,15
74,3,0.1617394993863562,60,0.15143398029598498,15
74,4,0.35302620090121617,60,0.3497421492125755,15
74,5,0.5479519430293291,60,0.5422691800514715,15
74,6,0.763672626089958,60,0.7621190370857363,15
74,7,1.0168140248376047,60,1.0081892077521557,15
74,8,1.6826851785755703,60,1.566023279184458,15
76,0,-1.3639944843137972,35,-1.299665747412389,9
76,1,-0.7736063000427367,35,-0.7906367395202315,9
76,2,-0.457618081659941,35,-0.45602527023022593,8
76,3,-0.20167519156411978,35,-0.19630052716810484,9
76,4,0.08109068062386847,35,0.09404884239829557,9
76,5,0.3834563285535885,35,0.37825399036799345,8
76,6,0.6711701592141294,35,0.6682175806528085,9
76,7,1.042869129519702,35,1.0480753811980015,9
76,8,1.8082995066754293,35,1.712008628710314,8
77,0,-1.4897916765114545,45,-1.4454247896819143,12
77,1,-0.8408347863712762,44,-0.8222982791970042,11
77,2,-0.4708286430691196,45,-0.4415388128441733,11
77,3,-0.20144756889529714,44,-0.1998073774380123,11
77,4,0.039883171654955266,45,0.059417540879600564,11
77,5,0.364843009062192,44,0.3690988781489872,11
77,6,0.6914006716234957,45,0.6988810117887103,11
77,7,1.1564968443285604,44,1.1510926877359675,11
77,8,1.9890489015805901,44,1.991079668135857,11
78,0,-1.1783073467345382,26,-1.1539070081263647,7
78,1,-0.5394400067768049,25,-0.5603881256621958,6
78,2,-0.15873553926343978,26,-0.1485754696416872,7
78,3,0.04593754949794423,25,0.039637868221853244,6
78,4,0.22788897742058284,26,0.22788699560033784,7
78,5,0.38899633967746394,25,0.40080612421746337,6
78,6,0.6135094691297502,26,0.6439020409535107,7
78,7,0.8162861490712137,25,0.8262248394266448,6
78,8,1.4415149134891398,25,1.5538831539735058,6
80,0,-1.0649661641341868,11,-0.8305029001686858,3
80,1,-0.42511617700597326,11,-0.380766763184247,3
80,2,-0.1757425344301323,11,-0.1709020604291109,2
80,3,0.03566110350834816,11,0.060753146618788514,3
80,4,0.22549978234179777,11,0.22571036603453878,3
80,5,0.3623008978118155,11,0.3606271071574186,2
80,6,0.5461524597696908,11,0.5253564710523786,3
80,7,0.792939340525159,11,0.7724858810357881,3
80,8,1.222511262068047,10,1.1509609522036188,2
83,0,-1.3211367203758235,31,-1.3758316456492192,8
83,1,-0.6228991278518712,30,-0.6282132575740672,8
83,2,-0.2684955003423942,31,-0.2712679532923796,7
83,3,-0.020538610371057,30,-0.01973079702543348,8
83,4,0.1765107038391332,31,0.1760958693456491,8
83,5,0.4248815300797054,30,0.40451151775870164,7
83,6,0.7418174338495578,31,0.7372703608124664,8
83,7,1.1174041049302843,30,1.1233456835445175,8
83,8,1.821245135097994,30,1.9073955430467722,7
84,0,-1.10512825031851,18,-1.0856966715458873,5
84,1,-0.44490601379078376,17,-0.460073393648188,4
84,2,-0.09801678900042479,17,-0.1123810245794689,4
84,3,0.11241164979792852,17,0.1373201845176361,5
84,4,0.2976714404144993,17,0.31505722529885444,4
84,5,0.49100490213152204,17,0.4906381545758124,4
84,6,0.6762068279140396,17,0.7015515815965491,5
84,7,0.8879496534464896,17,0.8936540024561096,4
84,8,1.373987926102572,17,1.4954802820557394,4
85,0,-1.4102697598112088,53,-1.369141027776089,13
85,1,-0.7815235281915578,52,-0.8012836848251644,13
85,2,-0.44812692913865054,52,-0.4662926927944661,13
85,3,-0.1447163526649389,52,-0.15356165234161423,13
85,4,0.09663118419275846,52,0.07495930668039114,13
85,5,0.39544007662893293,52,0.3851766099979834,13
85,6,0.7433472068286081,52,0.7392648268085668,13
85,7,1.1633724790398756,52,1.1395546442173787,13
85,8,1.8915799232026054,52,1.8258661846921143,13
86,0,-1.1401000905659844,17,-0.9999720496534618,4
86,1,-0.3275860883448592,16,-0.3537365394696521,4
86,2,-0.038812651541346326,16,-0.04055391548822351,4
86,3,0.12039891167182194,16,0.11031965477182037,4
86,4,0.2809681726359492,17,0.2744287916188071,4
86,5,0.4880440508431134,16,0.469165117059832,4
86,6,0.7117833919196234,16,0.6846693515652175,4
86,7,0.9731055389060225,16,0.9625848013071124,4
86,8,1.5568531370159073,16,1.4399385310968604,4
87,0,-1.06069939633526,7,-0.918708210909514,2
87,1,-0.43911280278206294,7,-0.4263328983800014,2
87,2,-0.16667519791798938,7,-0.11885418579615681,1
87,3,0.04317700235101587,7,0.027867099637667044,2
87,4,0.1768636646573982,6,0.18983239068129273,2
87,5,0.29175079468030846,7,0.3439535243943642,1
87,6,0.5316920408213868,7,0.5257148606581867,2
87,7,0.8887068748942812,7,0.8178276227319777,2
87,8,1.7168101904860056,6,1.6167879280431945,1
88,0,-1.3641413917467662,8,-0.9262440702834216,2
88,1,-0.4670077089021234,8,-0.34237393301426766,2
88,2,-0.08388053749591043,8,-0.019143956740765414,2
88,3,0.18647803702359975,8,0.2787458916411975,2
88,4,0.5394805775248968,7,0.5991827510870923,2
88,5,0.7438926757182215,8,0.8050249968802811,2
88,6,0.8994844781733102,8,1.009398082541816,2
88,7,1.276999242467886,8,1.436385160977965,2
88,8,1.817484358555747,7,1.874184720197157,1
90,0,-1.0315335744335603,5,-0.6003571591670278,2
90,1,-0.4400871155304683,5,-0.2631491598294287,1
90,2,-0.1962126462139358,5,-0.1061087784374176,1
90,3,-0.04980675017777352,5,0.0195117815736735,1
90,4,0.15553062879261045,5,0.2260284546223702,1
90,5,0.35493014533736295,5,0.3418716217956435,1
90,6,0.6400608282974461,5,0.60642355444435,1
90,7,0.901375564698049,5,0.7948668625432956,1
90,8,1.5410709981187884,4,1.2426192143639283,1
94,0,-1.4458846221725958,6,-1.2455375666049138,2
94,1,-0.6146444152991706,5,-0.5148853294894212,1
94,2,-0.39760090358998357,5,-0.4082832133851469,1
94,3,-0.1438327079777562,6,-0.0509582035353272,2
94,4,0.15413216125121965,5,0.1855517249843931,1
94,5,0.3309949384129338,5,0.3336962362567366,1
94,6,0.6112710463218178,6,0.6742584878262214,2
94,7,0.9621469806541573,5,1.063310159770024,1
94,8,1.2530238935435294,5,1.242125312607834,1
96,0,-1.095696442188639,5,-1.1087620808445302,2
96,1,-0.4793472822839936,5,-0.3458165203043836,1
96,2,-0.20923421860807,5,-0.1952110032912913,1
96,3,0.108008430827503,5,0.201608233714112,2
96,4,0.3934141251467884,5,0.504377815069872,1
96,5,0.5887038970256041,5,0.6844298588983633,1
96,6,0.820010407970791,5,0.8835263045448529,2
96,7,0.9468052813631583,5,1.146039160874625,1
96,8,1.2722480858666343,5,1.3305260584067578,1
98,0,-1.1269741759436214,18,-1.0313894473713527,5
98,1,-0.5300606727691424,18,-0.4835193575960484,4
98,2,-0.17216561863607688,18,-0.12663238894111556,5
98,3,0.11187072151083327,18,0.13299438558868928,4
98,4,0.30328655331567994,18,0.3237296341948553,5
98,5,0.5224081641531096,18,0.552770796743103,4
98,6,0.6878983850594925,18,0.7001168036453884,5
98,7,0.8905242566017949,18,0.9214544881440565,4
98,8,1.319096383868645,17,1.40558550845772,4
103,0,-1.3261294448135397,5,-0.8336522198602964,2
103,1,-0.673758509265143,5,-0.4452928631389514,1
103,2,-0.3631568587815605,4,-0.2688617814549106,1
103,3,-0.18858239358456622,5,-0.05658426074405829,1
103,4,0.07503603745104763,5,0.1932207212502373,1
103,5,0.4135623240387639,4,0.4700745475817011,1
103,6,0.657606229791787,5,0.656851221384596,1
103,7,0.9350129463430723,5,0.7809722937949114,1
103,8,1.4350600677546612,4,1.1759239602259983,1
106,0,-1.2486978986641781,10,-1.2068650945583417,3
106,1,-0.672017820553709,9,-0.5655000450053623,2
106,2,-0.3330687988043107,9,-0.3038090171767844,2
106,3,-0.025934253405910074,10,-0.000880175628386494,3
106,4,0.31720888243563405,9,0.34313863828058405,2
106,5,0.5258407399003253,9,0.5289489431842562,2
106,6,0.8184438550480947,10,0.8530258160618677,3
106,7,1.0221002488057624,9,1.0748191485852765,2
106,8,1.4604780855374508,9,1.4074858178375829,2
119,0,-1.0146159538271688,19,-1.008584424019084,5
119,1,-0.33192312495017506,18,-0.3178310495732063,5
119,2,-0.1266377500062134,18,-0.09507318127534439,4
119,3,0.11932616932902922,19,0.13448459400012863,5
119,4,0.3278270516052609,18,0.34955276922353057,4
119,5,0.513549434524156,18,0.5196053716237221,5
119,6,0.6834185328280322,19,0.6938038911684934,4
119,7,0.9468399788732325,18,0.926515252966256,5
119,8,1.6544524530488507,18,1.561019278554705,4
143,0,-1.4273922402731793,24,-1.5769753546590317,6
143,1,-0.7301524905200981,23,-0.6942952118368808,6
143,2,-0.24120738452638465,23,-0.23377962142162798,6
143,3,0.09727465214614567,23,0.10957543738998164,6
143,4,0.30734909078907247,23,0.32464855387678654,5
143,5,0.5408703277813006,23,0.5303564913869644,6
143,6,0.9193427478784022,23,0.9449018526010804,6
143,7,1.268571746371863,23,1.2807059602459958,6
143,8,1.888654763057308,23,1.9051483222501144,5
