question_id,question_num,skill_id,part,interaction_rows,correct_rows,accuracy,eligible_item
q3603,3603,74,5,2904,1440,0.49586776859504134,True
q3604,3604,74,5,6083,2068,0.3399638336347197,True
q3605,3605,74,5,3508,1732,0.49372862029646525,True
q3606,3606,74,5,2225,1663,0.7474157303370786,True
q3607,3607,74,5,2968,1598,0.5384097035040432,True
q3608,3608,74,5,1642,1256,0.7649208282582217,True
q3614,3614,74,5,2506,1673,0.6675977653631285,True
q3615,3615,74,5,1535,950,0.6188925081433225,True
q3616,3616,74,5,2025,1272,0.6281481481481481,True
q3617,3617,74,5,1741,967,0.5554279149913842,True
q3618,3618,74,5,2339,1503,0.6425823001282599,True
q3619,3619,74,5,1866,1357,0.7272240085744909,True
q3620,3620,74,5,1935,1160,0.599483204134367,True
q3621,3621,74,5,5760,3314,0.5753472222222222,True
q3622,3622,74,5,6220,2371,0.3811897106109325,True
q3623,3623,74,5,1701,1201,0.7060552616108172,True
q3624,3624,74,5,2091,1399,0.6690578670492587,True
q3625,3625,74,5,5408,4143,0.7660872781065089,True
q3626,3626,74,5,1982,1149,0.5797174571140262,True
q3627,3627,74,5,1930,1211,0.6274611398963731,True
q3629,3629,74,5,3143,1989,0.6328348711422208,True
q3630,3630,74,5,1773,1328,0.7490129723632262,True
q3631,3631,74,5,4298,1546,0.35970218706375057,True
q3633,3633,74,5,30729,9897,0.3220736112467051,True
q3635,3635,74,5,4449,3229,0.7257810743987413,True
q3636,3636,74,5,2808,1637,0.582977207977208,True
q3637,3637,74,5,1829,1446,0.7905959540732641,True
q3638,3638,74,5,2766,1865,0.6742588575560376,True
q3640,3640,74,5,4318,1889,0.43747105141269105,True
q3641,3641,74,5,1087,979,0.9006439742410304,True
q3642,3642,74,5,4176,3090,0.7399425287356322,True
q3643,3643,74,5,2301,1650,0.7170795306388527,True
q3644,3644,74,5,5987,1792,0.2993151828962753,True
q3645,3645,74,5,1916,1336,0.697286012526096,True
q3646,3646,74,5,1364,927,0.6796187683284457,True
q3648,3648,74,5,1422,1067,0.750351617440225,True
q3649,3649,74,5,2302,1588,0.6898349261511729,True
q3650,3650,74,5,1701,1242,0.7301587301587301,True
q3651,3651,74,5,2228,1853,0.8316876122082585,True
q3652,3652,74,5,1637,1292,0.7892486255345144,True
q3653,3653,74,5,1597,1084,0.6787726988102692,True
q3654,3654,74,5,1619,1104,0.6819024088943793,True
q3656,3656,74,5,2807,1429,0.5090844317776986,True
q3657,3657,74,5,1667,1291,0.7744451109778044,True
q3658,3658,74,5,3877,2504,0.6458602011864844,True
q3660,3660,74,5,1823,1183,0.6489303346132749,True
q3661,3661,74,5,1489,1084,0.7280053727333781,True
q3662,3662,74,5,3318,2840,0.8559373116335142,True
q3663,3663,74,5,1957,1119,0.5717935615738375,True
q3664,3664,74,5,2510,1747,0.69601593625498,True
q3667,3667,77,5,8399,5015,0.5970948922490773,True
q3668,3668,77,5,9664,4174,0.43191225165562913,True
q3669,3669,77,5,19630,6954,0.354253693326541,True
q3670,3670,77,5,9056,3946,0.43573321554770317,True
q3671,3671,77,5,6326,4107,0.6492254189061017,True
q3672,3672,77,5,5709,3462,0.6064109301103521,True
q3673,3673,77,5,5165,3144,0.6087124878993223,True
q3674,3674,77,5,9786,7366,0.7527079501328429,True
q3675,3675,77,5,5276,3490,0.6614859742228961,True
q3676,3676,85,5,4803,3815,0.794295232146575,True
q3677,3677,85,5,6139,3734,0.6082423847532171,True
q3678,3678,85,5,5278,4744,0.898825312618416,True
q3679,3679,85,5,6210,3048,0.49082125603864735,True
q3680,3680,85,5,4356,2969,0.6815886134067952,True
q3681,3681,85,5,5988,2281,0.38092852371409486,True
q3683,3683,85,5,5394,4790,0.8880237300704487,True
q3685,3685,85,5,3702,2753,0.7436520799567801,True
q3686,3686,119,5,6349,3777,0.5948968341471098,True
q3690,3690,87,5,9567,6380,0.6668757186160761,True
q3693,3693,85,5,5733,4250,0.7413221698935984,True
q3701,3701,85,5,11192,5891,0.5263581129378128,True
q3702,3702,78,5,6089,4056,0.6661192314008868,True
q3703,3703,78,5,8083,3676,0.4547816404800198,True
q3704,3704,78,5,2854,2050,0.7182901191310441,True
q3705,3705,78,5,600,422,0.7033333333333334,True
q3706,3706,78,5,4825,2240,0.46424870466321244,True
q3707,3707,78,5,6976,3125,0.4479644495412844,True
q3708,3708,78,5,3045,2344,0.7697865353037767,True
q3709,3709,78,5,307,185,0.6026058631921825,True
q3710,3710,78,5,9430,5126,0.5435843054082715,True
q3711,3711,78,5,3140,2405,0.7659235668789809,True
q3712,3712,78,5,3092,2066,0.6681759379042691,True
q3713,3713,78,5,5243,2770,0.52832347892428,True
q3714,3714,78,5,12221,5943,0.48629408395384993,True
q3715,3715,78,5,3208,2454,0.7649625935162094,True
q3716,3716,78,5,698,364,0.5214899713467048,True
q3717,3717,78,5,3346,2297,0.6864913329348475,True
q3718,3718,78,5,284,213,0.75,True
q3720,3720,78,5,3835,2280,0.5945241199478487,True
q3721,3721,78,5,5024,3839,0.7641321656050956,True
q3722,3722,78,5,3429,2231,0.6506270049577136,True
q3724,3724,78,5,3840,3027,0.78828125,True
q3725,3725,78,5,2911,2164,0.743387152181381,True
q3727,3727,78,5,4473,3667,0.8198077353006931,True
q3728,3728,78,5,3435,2242,0.6526928675400291,True
q3729,3729,78,5,3404,2790,0.8196239717978848,True
q3730,3730,78,5,4163,2856,0.6860437184722555,True
q3731,3731,78,5,3429,2358,0.6876640419947506,True
q3734,3734,78,5,3740,1957,0.5232620320855615,True
q3735,3735,78,5,3142,2194,0.6982813494589434,True
q3736,3736,78,5,3180,2745,0.8632075471698113,True
q3737,3737,78,5,4537,2825,0.6226581441481155,True
q3738,3738,78,5,5661,4518,0.7980922098569158,True
q3739,3739,78,5,5122,3215,0.6276844982428739,True
q3740,3740,78,5,4284,3857,0.9003267973856209,True
q3741,3741,78,5,15367,5810,0.37808290492614044,True
q3742,3742,78,5,5635,4256,0.7552795031055901,True
q3743,3743,78,5,350,149,0.4257142857142857,True
q3745,3745,78,5,5628,4181,0.7428926794598436,True
q3746,3746,78,5,2606,1845,0.7079815809669993,True
q3748,3748,78,5,5010,3839,0.7662674650698603,True
q3749,3749,78,5,2812,1742,0.6194879089615932,True
q3750,3750,86,5,4742,3261,0.6876845212990299,True
q3751,3751,86,5,3262,2289,0.7017167381974249,True
q3752,3752,106,5,6942,5266,0.7585710169979832,True
q3753,3753,86,5,6522,4856,0.744556884391291,True
q3754,3754,106,5,5767,4903,0.8501820704005549,True
q3756,3756,96,5,9153,7795,0.851633344258713,True
q3757,3757,86,5,2130,1723,0.8089201877934272,True
q3759,3759,103,5,10140,8502,0.8384615384615385,True
q3760,3760,86,5,3227,2764,0.8565230864580106,True
q3761,3761,106,5,5854,4715,0.8054321831226512,True
q3762,3762,86,5,3417,2955,0.8647936786654961,True
q3763,3763,96,5,11399,9028,0.7919992981840512,True
q3764,3764,86,5,1852,1641,0.8860691144708424,True
q3765,3765,86,5,1297,1179,0.9090208172706246,True
q3766,3766,106,5,4756,4149,0.8723717409587889,True
q3767,3767,86,5,5902,4664,0.7902405964079973,True
q3768,3768,106,5,5117,3758,0.7344146961110025,True
q3769,3769,86,5,6495,4699,0.7234795996920709,True
q3771,3771,86,5,2172,1734,0.7983425414364641,True
q3772,3772,106,5,5894,3585,0.6082456735663386,True
q3773,3773,86,5,7151,5037,0.7043770102083625,True
q3775,3775,96,5,9450,7152,0.7568253968253968,True
q3777,3777,103,5,9935,6753,0.6797181680926019,True
q3778,3778,86,5,4779,3714,0.7771500313873195,True
q3779,3779,106,5,10112,7506,0.7422863924050633,True
q3780,3780,96,5,9294,7914,0.8515171078114913,True
q3781,3781,86,5,3671,2900,0.789975483519477,True
q3782,3782,103,5,14560,10777,0.7401785714285715,True
q3783,3783,106,5,6727,5110,0.7596253902185224,True
q3784,3784,106,5,13583,6555,0.4825885297798719,True
q3786,3786,86,5,2728,2221,0.8141495601173021,True
q3787,3787,106,5,7507,4650,0.6194218729186093,True
q3789,3789,86,5,2469,1900,0.7695423248278656,True
q3790,3790,86,5,9191,6013,0.6542269611576542,True
q3794,3794,106,5,5585,4650,0.8325872873769025,True
q3795,3795,86,5,2460,2184,0.8878048780487805,True
